Время,Вопрос,Ожидание,Ответ,Источники,Длина_ответа,Чанков_найдено,Корректно
2026-02-25T17:05:56.425796,Кто такой Илья Звездин?,"Илья Звездин — сын Андрея Звездина, чувствительный к Потоку"," Илья Звездин — человек, чувствительный к Потоку, сын светлого Андрея Звездина и сенатора Падме. Вырос на Песчаной под опекой дяди. Обучался у мастера Добрыни Светлова и мастера Яромира Мудрого. Стал ключевой фигурой в Галактической войне, уничтожил первую Звезду Разрушения. Восстановил Орден Света.","01_Илья_Звездин.txt, 03_Елена_Орлова.txt, 16_Топь.txt, 05_Добрыня_Светлов.txt, 10_Золотой.txt",300,5,True
2026-02-25T17:05:56.466589,Что такое Поток?,Поток — энергетическое поле,Я не знаю ответа на этот вопрос.,,0,0,False
2026-02-25T17:05:56.490813,Где находится Песчаная?,Песчаная — пустынная планета,Я не знаю ответа на этот вопрос.,,0,0,True
2026-02-25T17:05:56.516705,Кто такой Владек Теневой?,Владек Теневой — бывший Андрей Звездин,Я не знаю ответа на этот вопрос.,,0,0,True
2026-02-25T17:05:59.899434,Какая планета называется Студёная?,Студёная — ледяная планета, Студёная — ледяная планета.,"15_Студёная.txt, 12_Столица.txt, 13_Мирная.txt, 14_Лесная_Луна.txt, 17_Озёрная.txt",28,5,True
2026-02-25T17:06:06.414770,Кто такой Добрыня Светлов?,Добрыня Светлов — мастер Ордена Света," Добрыня Светлов — это человек, мастер Ордена Света. Ученик мастера Квай-Гона. Участвовал в Войнах Копий. После перехода Андрея Звездина на тёмную сторону победил его в дуэли на Мустафаре.","05_Добрыня_Светлов.txt, 01_Илья_Звездин.txt, 10_Золотой.txt, 03_Елена_Орлова.txt, 06_Яромир_Мудрый.txt",188,5,True
2026-02-25T17:06:13.288426,Что такое Звезда Разрушения?,Звезда Разрушения — боевая станция," Звезда Разрушение — это боевая космическая станция размером с луну, вооружённая суперлазером, способным уничтожать планеты. Первая уничтожена Ильёй Звездиным, а вторая — Сопротивлением у Лесной Луны.","27_Звезда_Разрушения.txt, 14_Лесная_Луна.txt, 21_Империя.txt, 13_Мирная.txt, 01_Илья_Звездин.txt",200,5,True
2026-02-25T17:06:13.319721,Что такое Void Core?,нет в базе,Я не знаю ответа на этот вопрос.,,0,0,True
2026-02-25T17:06:13.327211,Кто такой Дарт Вейдер?,нет в базе,Я не знаю ответа на этот вопрос.,,0,0,True
2026-02-25T17:06:19.631152,Кто такой динозаврик?,"Кот динозаврик является важным персонажем вселенной, он обладает большой чувствительностью к потоку, был любимым питомцем Ильи Звездина, и несмотря на нелюбовь кошек к воде, он был рожден на планете озёрная."," Кот динозаврик является важным персонажем вселенной. Он был любимым питомцем Ильи Звездина, несмотря на то, что обычно кошки не любят воду, но он был рожден на планете озерная.","Динозаврик.txt, 07_Властелин_Тёмный.txt, 07_Властелин_Тёмный.txt, 25_Лесовики.txt, 08_Чуб.txt",177,5,True
